Имя,С единственным автором,В соавторстве,Количество вариантов имён (single),Количество вариантов имён (multiple),Варианты имён (single),Картинки,Варианты имён (multiple)
Попов Ал. Иванович,2,0,1,0,Попов А,-,-
Попов В.А.,1,1,1,1,Попов В,7928:2117,Прейсман и Попов
Попов Г.И.,1,0,1,0,Попов Г,-,-
"Попов И., учитель",1,0,1,0,Попов И,-,-
Попов Иван Иванович,25,1,1,1,Попов И,7928:1458,"Лушников, Казанцев, Попов"
Попов Михаил Степанович,1,0,1,0,Попов М,-,-
Попов П.С.,1,0,1,0,Попов П,-,-
Попов Р.,1,0,1,0,Попов Р,-,-
Попова В.,1,0,1,0,Попова В,-,-
Попова Н.,3,0,2,0,Попова Н,-,-
-,-,-,-,-,Попова,-,-
Потанин Михаил Федорович,3,0,1,0,Потанин М,-,-
Потанина Александра Викторовна,62,1,2,1,Потанина А,7928:1903,Потанина А
-,-,-,-,-,Лаврская А,-,-
Потанина Александра Викторовна Херсонская М.,1,0,1,0,Потанина А. и Херсонская М,-,-
Потапов А.И.,1,0,1,0,Потапов,-,-
Прейн Яков Павлович,5,0,1,0,Прейн,-,-
Прейн Яков Пвлович,0,1,0,1,-,7928:1464,"Клеменцы, Ошурковы"
Прейсман Вал.Г.,1,1,1,1,Прейсман,7928:2117,Прейсман и Попов
Прибыткова В.В.,1,0,1,0,Прибыткова,-,-
Пронников И.,1,0,1,0,Пронников,-,-
Проскуряков Иннокентий Павлович,1,0,1,0,Проскуряков И,-,-
Проскуряков Павел Степанович,1,1,1,1,Проскуряков П,7928:1512,Проскуряковы
Проскурякова,0,1,0,1,-,7928:1512,Проскуряковы
Проскурякова Е. Павловна,30,0,1,0,Проскурякова,-,-
Протопопов Д. (Комитет грамотности),1,0,1,0,Протопопов,-,-
Прошение в Главное управление по делам печати И. Богашев,1,0,1,0,Богашев,-,-
Пругавин А.,0,1,0,1,-,7928:2378,Пругавин
Пушкарев Глеб Михайлович,2,0,1,0,Пушкарев,-,-
Пыпин Александр Николаевич,2,0,1,0,Пыпин,-,-
Пыпина Наталия Александровна,1,0,1,0,Пыпина,-,-
Рабданов Будда Рабданович,3,0,1,0,Рабданов,-,-
Рабданов Бурмет,1,0,1,0,Рабданов Бурмет,-,-
Рабушкевич Н.,1,0,1,0,Рабушкевич,-,-
Равич-Щерба В.В.,1,0,1,0,Равич-Щерба,-,-
Раппопорт (Ан-ский) Семен Акимович,12,0,1,0,Раппопорт,-,-
Раскольников,0,2,0,2,-,7928:1514,"Лаптев, Коншин и др"
-,-,-,-,-,-,7928:1536,"Лаптев, Коншин"
Распорядители обеда в честь Станюковича,1,0,1,0,Распорядители,-,-
Распорядитель обедов журналистов,1,0,1,0,Распорядитель обедов,-,-
Редакция Сибирского торгово-промышленного календаря,0,1,0,1,-,7928:2386,Редакция календаря
Редакция газеты «Восточная заря»,1,0,1,0,Восточная заря,-,-
Редакция газеты «Сибирский вестник»,1,0,1,0,Сибирский вестник,-,-
Редакция газеты «Якутская мысль»,1,0,1,0,Якутская мысль,-,-
Редакция журнала «Молодая Сибирь»,1,1,1,1,Молодая Сибирь,7928:2377,Молодая Сибирь
Редакция журнала «Сибирская новь»,0,1,0,1,-,7928:2375,Гребенщиков и Ильинский
Рейснер Михаил Андреевич,3,0,1,0,Рейснер,-,-
Ржавская Надежда Федоровна,28,0,2,0,Ржавская,-,-
-,-,-,-,-,Ржавская.,-,-
Роборовский Всеволод Иванович,1,0,1,0,Роборовская,-,-
Родионова А.,1,0,1,0,Родионова,-,-
Розальсон-Сашковская С.,1,0,1,0,Сашковская,-,-
Розенталь И.С.,1,0,1,0,Розенталь И,-,-
Розенталь Лазарь Соломонович,3,0,1,0,Розенталь,-,-
Ромась Михаил Иванович,1,0,1,0,Ромась,-,-
Росляков И.П.,2,0,1,0,Росляков,-,-
Ротштейн А.,1,0,1,0,Ротштейн,-,-
Руднев Андрей Дмитриевич,19,0,1,0,Руднев,-,-
Русси А.Г.,1,0,1,0,Русси,-,-
Рыбаков Сергей Гаврилович,1,0,1,0,Рыбаков,-,-
Рыбалкин Михаил Петрович,1,0,1,0,Рыбалкин,-,-
Рындина Ал.,2,0,1,0,Рындина,-,-
Садовский И.В.,2,0,1,0,Садовский,-,-
Сажина Е.,1,0,1,0,Сажина,-,-
Самбо Ел.,1,0,1,0,Самбо,-,-
Саметин Л.,1,0,1,0,Саметин,-,-
Самохвалов Михаил Макарович,2,0,1,0,Самохвалов,-,-
Самохвалова Александра,2,0,1,0,Самохвалова А,-,-
Самохвалова Ольга Михайловна,3,0,1,0,Самохвалова О,-,-
Санкт-Петербургский адресный стол,6,0,1,0,Адресный стол,-,-
Санкт-Петербургское Сибирское собрание,1,0,1,0,Сибирское собрание,-,-
Сапожников Василий Васильевич,14,1,1,1,Сапожников,7928:2468,Достоевский и другие
Сапожников И.,1,0,1,0,Сапожников И,-,-
Сбилев Н.,2,0,1,0,Сбилев,-,-
Свентицкая Мария Хрисанфовна,35,1,1,1,Свентицкая,7928:2198,"Лаврский, Свентицкая, Тейтель"
Светлова В.,1,0,1,0,Светлова,-,-
Седельников Александр Никитич,0,1,0,1,-,7928:2449,Ширяев
Семевский Б.,1,0,1,0,Семевский Б,-,-
Семевский Василий Иванович,12,0,2,0,Семевский В,-,-
-,-,-,-,-,Семевский,-,-
Семенов Иван Александрович,2,0,1,0,Семенов И,-,-
Семенов Тян-Шанский Петр Петрович,1,1,1,1,Семенов П,7928:2468,Достоевский и другие
Семенов-Тян-Шанский Андрей Петрович,1,0,1,0,Семенов А,-,-
Семенов-Тян-Шанский Петр Петрович,1,1,1,1,Семенов П,7928:2838,"Достоевский, Козлов и др"
Сементовская Варвара Константиновна,2,0,1,0,Сементовская В,-,-
Сементовская Мария Яковлевна,4,0,1,0,Сементовская М,-,-
Семидалов Вениамин Иванович,30,0,1,0,Семидалов,-,-
Семипалатинский подотдел Западно-Сибирского отдела Императорского Русского географического общества,0,3,0,1,-,"7928:2389, 7928:2369, 7928:2370",СП РГО
Сергеев Петр Иванович,1,0,1,0,Сергеев,-,-
Сергеева П.И.,6,0,1,0,Сергеева,-,-
Серебренников Иван Иннокентьевич,6,0,1,0,Серебренников,-,-
Серебрякова К.,1,0,1,0,Серебрякова,-,-
Серошевская М.,1,0,1,0,Серошевская,-,-
Серошевская Мария,1,0,1,0,Серошевская,-,-
Серошевский Вацлав Леопольдович,25,0,1,0,Серошевский,-,-
Сибирский кружок студентов,1,0,1,0,Сибирский кружок студентов,-,-
Сибирское землячество Киевского политехникума,1,0,1,0,Сибирское землячество,-,-
Сибирское товарищество печатного дела,0,1,0,1,-,7928:2408,Зубашев
Сибиряков Иннокентий Михайлович,8,0,2,0,Сибиряков И,-,-
-,-,-,-,-,Сибиряков,-,-
Сибирякова Анна Михайловна,15,0,3,0,Сибиряков А,-,-
-,-,-,-,-,Сибирякова А,-,-
-,-,-,-,-,Сибирякова,-,-
Сибирячки,1,0,1,0,Сибирячки,-,-
Сиверс Петр Александрович,1,0,1,0,Сиверс,-,-
Сидоровский Александр Александрович,2,0,1,0,Сидоровский,-,-
Симен А.,0,1,0,1,-,7928:2235,Тимашев
Симиренко Платон,2,0,1,0,Симиренко,-,-
Симович Надежда,1,0,1,0,Симович,-,-
Симонович,0,1,0,1,-,7928:1464,"Клеменцы, Ошурковы"
Симоновская Е.В.,5,0,1,0,Симоновская,-,-
Синегуб Лариса Васильевна,1,0,1,0,Синегуб,-,-
Сиязов Михаил Михайлович (Сибиряк),1,0,1,0,Сиязов,-,-
Скалозубов Николай Лукич,7,3,1,3,Скалозубов,7928:1514,"Лаптев, Коншин и др"
-,-,-,-,-,-,7928:1536,"Лаптев, Коншин"
-,-,-,-,-,-,7928:1518,"некрасов, Скалозубов"
Словцов Иван Яковлевич,1,0,1,0,Словцов,-,-
Смагин В.В.,1,0,1,0,Смагин,-,-
Смирнов Е.,2,1,1,1,Смирнов Е,7928:1505,"Солдатов, Головачев и др"
Смирнова А.Л.,3,0,2,0,Смирнова,-,-
-,-,-,-,-,Смирнова А,-,-
Смирнова М.П.,1,0,1,0,Смирнова М,-,-
Соболев Афанасий Гаврилович,0,1,0,1,-,7928:2334,Сссыльные
Соболев Михаил Николаевич,8,0,1,0,Соболев М,-,-
Соболев Порфирий Николаевич,3,0,1,0,Соболев,-,-
Соболева Вера Петровна,1,0,1,0,Соболева,-,-
Совет Общества попечения о начальном образовании,1,0,1,0,Совет начального образования,-,-
Совет Томского педагогического общества,1,0,1,0,Педобщество,-,-
Совет общества распространения народного образования,1,0,1,0,Совет народного образования,-,-
Совет общества распространения народного образования и народных развлечений,0,1,0,1,-,7928:2368,Первушин
Соколов Е.О.,1,1,1,1,Соколов,7928:2432,Соколов
Солдатенко Ф.И.,1,0,1,0,Солдатенко,-,-
Солдатов Владимир Константинович,10,2,1,2,Солдатов,7928:1505,"Солдатов, Головачев и др"
-,-,-,-,-,-,7928:1504,Солдатовы
Солдатова,0,1,0,1,-,7928:1504,Солдатовы
Соловкин Анатолий Иванович,2,0,2,0,Соловкин,-,-
-,-,-,-,-,,-,-
Сорокин Павел,7,0,1,0,Сорокин П,-,-
Союз взаимопомощи русских писателей,2,0,1,0,Союз писателей,-,-
Старцев Алексей Дмитриевич,1,0,1,0,Старцев,-,-
Старынкевич Константин Сократович,1,0,1,0,Старынкевич,-,-
Стасов Владимир Васильевич,2,0,1,0,Стасов,-,-
Стишов Г.,2,0,1,0,Стишов,-,-
Страхова Мария Ивановна,1,0,1,0,Строхова,-,-
Стукачева Евдокия Александровна,4,0,1,0,Стукачева,-,-
Сукачев Борис Владимирович,3,0,1,0,Сукачев Б,-,-
Сукачев Владимир Платонович,7,1,2,1,Сукачев В,7928:2393,Сукачев
-,-,-,-,-,Сукачев,-,-
Сукачевы,1,0,1,0,Сукачевы,-,-
Сулье,2,0,1,0,Сулье,-,-
Суфтина Мария Осиповна,3,1,1,1,Суфтина,7928:852,Николева и Суфтина
Суханов Александр Степанович,1,0,1,0,Суханов,-,-
Сушилов Г.Г.,0,1,0,1,-,7928:2334,Сссыльные
Сущинский Петр Петрович,1,0,1,0,Сущинский,-,-
Сыромятников Александр Адрианович,2,0,1,0,Сыромятников,-,-
Талько-Гринцевич Юлиан Доминикович,6,0,2,0,Гринцевич,-,-
-,-,-,-,-,Талько-Гринцевич,-,-
Танырбердиф,1,0,1,0,Танырбердиф,-,-
Таскин Д.,2,0,1,0,Таскин,-,-
Тачалов Иван Иванович,1,0,1,0,Тачалов,-,-
Тейтель Е.,2,1,1,1,Тейтель,7928:2198,"Лаврский, Свентицкая, Тейтель"
Тернер М.Я.,1,0,1,0,Тернер,-,-
Тиблен Н.,16,0,2,0,Тиблен Н,-,-
-,-,-,-,-,Тиблен,-,-
Тиблен Ольга Николаевна,8,0,1,0,Тиблен О,-,-
Тимашев П.С.,0,1,0,1,-,7928:2235,Тимашев
Тинкело Е.А.,1,0,1,0,Тинкело,-,-
Типография «Петербургской газеты»,1,0,1,0,Типография,-,-
Титов В.С.,1,0,1,0,Титов,-,-
Тихонравова Наталья Андреевна,0,2,0,1,-,"7928:1205, 7928:1206",Тихонравова Р
Тихонравова Раиса,15,3,1,2,Тихонравова Р,7928:2792,Тихонравова Р. и Волкова
-,-,-,-,-,-,"7928:1205, 7928:1206",Тихонравова Р
Тобольский губернский музей,1,0,1,0,Тобольский музей,-,-
Токмакова Е.,3,0,1,0,Токмакова,-,-
Толмачев Иннокентий Павлович,1,0,1,0,Толмачев,-,-
Томилов,2,0,1,0,Томилов,-,-
Томская городская управа,2,0,1,0,Томская управа,-,-
Томская группа Учительского союза,1,0,1,0,Учительский союз,-,-
Томский литературно-артистический кружок,2,0,1,0,Литературный кружок,-,-
Томское Общество изучения Сибири,1,0,1,0,ОИС,-,-
Томское губернское управление,0,2,0,1,-,"7928:2405, 7928:2406",Губернское управление
Томское общество взаимного кредита,1,0,1,0,Общество кредита,-,-
Томское общество садоводства,1,1,1,1,Общество садоводства,7928:2437,Иваницкий
Томское отделение Императорского Русского музыкального общества,3,0,2,0,Музыкальное общество,-,-
-,-,-,-,-,ТО РМО,-,-
Травникова В.,2,0,1,0,Травникова,-,-
Трапезников А.,0,2,0,1,-,"7928:2349, 7928:2350",Трапезников и Косягин
Третьякова Анна Иосифовна (Осиповна),6,0,1,0,Третьякова А,-,-
Трикулов Н.,1,0,1,0,Трикулов,-,-
Троицкая М.,1,1,1,1,Троицкая,7928:1509,"Новомбергские, Троицкие и др"
Троицкий,0,1,0,1,-,7928:1509,"Новомбергские, Троицкие и др"
Троицкосавско- Кяхтинское отделение Приамурского отдела Императорского Русского географического общества,1,0,1,0,ПО РГО,-,-
Троповский А.Н.,1,0,1,0,Троповский,-,-
Трубачев,0,1,0,1,-,7928:2469,Першин и другие
Труховская Доминика Васильевна,1,0,1,0,Труховская,-,-
Тугаринов А.,0,1,0,1,-,7928:2380,Григорьев и Тугаринов
Тыжнов Иннокентий Иванович,2,0,1,0,Тыжнов,-,-
Тюмен Эмиль фон (Thumen),1,0,1,0,Тюмен,-,-
Тюменцева Елена Гавриловна,2,0,1,0,Тюменцева,-,-
Тютрюмов П.,1,0,1,0,Тютрюмов,-,-
Тютрюмова Р.А.,4,0,1,0,Тютрюмова Р,-,-
Тютрюмова Феофания Николаевна,3,0,1,0,Тютрюмова Ф,-,-
Тягунова О.,1,0,1,0,Тягунова,-,-
Уваровская Е.,1,1,1,1,Уваровская,7928:2034,Писарева и Уваровская
Ульрих,0,1,0,1,-,7928:1480,Ульрих и Головачев Д
Уотерс Юлий,6,0,1,0,Уотерс,-,-
Управление Сибирской железной дороги,1,0,1,0,Управление СЖД,-,-
Управляющий фабрики в с. Колыванское,1,0,1,0,Управляющий,-,-
Урываев Д.,1,0,1,0,Урываев,-,-
Усенович И.Л.,0,1,0,1,-,7928:2416,Юридическое общество
Усов Иван Николаевич,1,0,1,0,Усов,-,-
Успенских,1,0,1,0,Успенских,-,-
Участники Сибирского обеда,1,0,1,0,Участники Сибирского обеда,-,-
Ушаков А.,1,0,1,0,Ушаков А,-,-
Фарафонтова Таисия Михайловна,67,0,1,0,Фарафонтова,-,-
Федченко Владимир Иванович,15,0,1,0,Федченко,-,-
Филимонова Софья Васильевна,1,0,1,0,Филимонова,-,-
Филиппов М.В.,1,1,1,1,Филиппов М,7928:2367,Филиппов
Финчино Д.,1,0,1,0,Финчино,-,-
Фоняков,0,1,0,1,-,7928:1509,"Новомбергские, Троицкие и др"
Фонякова,0,1,0,1,-,7928:1509,"Новомбергские, Троицкие и др"
Фролов-Багреев,0,1,0,1,-,7928:2367,Филиппов
Х.М.,1,0,1,0,Х.М,-,-
Харульский Ф.,1,0,1,0,Харульский,-,-
Хейсин Миней Леонтьевич,1,0,1,0,Хейсин,-,-
Херсонская Е.,2,0,1,0,Херсонская,-,-
Херсонский Григорий Хрисанфович,7,0,1,0,Херсонский,-,-
Хлусович Анастасия Антоновна,1,0,1,0,Хлусович,-,-
Хмелева Ольга Неоновна,1,0,1,0,Хмелева,-,-
Холодов,0,1,0,1,-,7928:2469,Першин и другие
Цветковский Юрий Юрьевич,2,0,1,0,Цветковский,-,-
Цезарская Л.,5,1,1,1,Цезарская,7928:482,Цезарская Блохина
Цырен Лама,1,0,1,0,Цырен Лама,-,-
Чарушин А.,2,0,2,0,Чарушин А.,-,-
-,-,-,-,-,Чарушин А,-,-
Чарушина Анна Дмитриевна,1,0,1,0,Чарушин,-,-
Чачина Ольга Ивановна,1,0,1,0,Чачина,-,-
Черевков В.,1,0,1,0,Черевков,-,-
Черемисинов В.,1,0,1,0,Черемисинов,-,-
Черемисинова В.В.,2,0,1,0,Черемисинова,-,-
Черемшанский Александр Евграфович,0,1,0,1,-,7928:1452,"Ядринцев, Черемшанский, Павлов"
Черепанова Мария Павловна,9,0,1,0,Черепанова,-,-
Чистякова В.,1,0,1,0,Чистякова,-,-
Чорманов Садвокас,1,0,1,0,Чорманов С,-,-
Чувашева Августа,1,0,1,0,Чувашева,-,-
Чудновская Любовь Давыдовна,1,0,1,0,Чудновская,-,-
Чудновский Соломон Лазаревич,1,0,1,0,Чудновский,-,-
Чудновский Соломон Лазоревич,1,0,1,0,Чудновский,-,-
Чурофин,1,0,1,0,Чурофин,-,-
Шавров Иннокентий Егорович,1,0,1,0,Шавров,-,-
Шайтанов Александр Дмитриевич,1,0,1,0,Шайтанов,-,-
Шалаева Марина Юльевна,1,0,1,0,Шалаева,-,-
Шалфеев П.,1,0,1,0,Шалфеев,-,-
Шашков Серафим Серафимович,1,0,1,0,Шашков,-,-
Швецова Мария Васильевна,1,0,1,0,Швецова,-,-
Шерстобоев Н.Т.,1,0,1,0,Шерстообев,-,-
Шестакова А.,1,0,1,0,Шестакова,-,-
Шибанов Павел Петрович,1,0,1,0,Шибанов,-,-
Ширяев Федор Геннадьевич,1,2,1,2,Ширяев,7928:2387,ВСО РГО
-,-,-,-,-,-,7928:2449,Ширяев
Шишмарев Яков Парфентьевич,1,0,1,0,Шишмарев,-,-
Шишмарев Яков Парфеньевич,1,0,1,0,Шишмарев,-,-
Шнейдер А.,1,0,1,0,Шнейдер,-,-
Шоканов,1,0,1,0,Шоканов,-,-
Шольп Евгений Густавович,1,0,1,0,Шольп,-,-
Шостакович Б.,1,0,1,0,Шостакович Б,-,-
Шостакович Владимир Болеславович,4,0,1,0,Шостакович,-,-
Штаб Омского военного округа,1,0,1,0,Штаб Омского округа,-,-
Штемнин Э.,1,0,1,0,Штемнин,-,-
Штильке Василий Константинович,6,0,1,0,Штильке,-,-
Шутнов А.,1,0,1,0,Шутнов,-,-
Щировская А.,3,0,1,0,Щировская,-,-
Эггерс и Ко,3,0,1,0,Эггерс,-,-
"Этнографический отдел Императорского общества любителей естествознания, антропологии и этнографии",2,0,1,0,Этнографический отдел,-,-
Юбекратная,2,0,1,0,Юбекратная,-,-
Южаков Сергей Николаевич,1,0,1,0,Южаков,-,-
Юрганова (Вяткина) Капитолина Васильевна,3,0,1,0,Юрганова,-,-
Юридическое общество при Томском университете,0,1,0,1,-,7928:2416,Юридическое общество
Юферова,0,1,0,1,-,7928:1485,Мокиевские и др
Ягдфельд,1,0,1,0,Ягдфельд,-,-
Ядринцев Лев Николаевич,3,0,1,0,Ядринцев Л,-,-
Ядринцев Николай Михайлович,2,1,2,1,Ядринцев,7928:1452,"Ядринцев, Черемшанский, Павлов"
-,-,-,-,-,Ядринцев М,-,-
Ядринцева (Злобина) Лидия Николаевна,7,0,1,0,Ядринцева Л,-,-
"Ядринцева (Злобина, Доброва) Лидия Николаевна",3,0,1,0,Ядринцева Л,-,-
Яковлев,0,1,0,1,-,7928:1464,"Клеменцы, Ошурковы"
Яковлев В.,3,0,1,0,Яковлев В,-,-
Яковлев Сергей Александрович,1,0,1,0,Яковлев С,-,-
Яковлева Евдокия Егоровна / Григорьевна,40,0,2,0,Яковлева,-,-
-,-,-,-,-,Яковлева Е,-,-
Яковлева Лидия Николаевна,1,0,1,0,Яковлева Л,-,-
Якубович Петр Филиппович,1,0,1,0,Якубович,-,-
Янковская А.,1,0,1,0,Янковская,-,-
Яновский Кирилл Петрович,2,0,1,0,Яновский,-,-
Янчук Николай Андреевич,9,0,1,0,Янчук,-,-
Ярилов Арсений Арсеньевич,7,0,1,0,Ярилов,-,-
Яшеров Павел Борисович,8,0,1,0,Яшеров,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
