Имя,С единственным автором,В соавторстве,Количество вариантов имён (single),Количество вариантов имён (multiple),Варианты имён (single),Картинки,Варианты имён (multiple)
Воложанина В.,3,0,1,0,Воложанина,-,-
Вольфсон Дмитрий Дмитриевич,5,0,1,0,Вольфсон,-,-
Воробьев Андрей Иванович,1,0,1,0,Воробьев,-,-
Воронов Павел Трофимович,1,0,1,0,Воронов,-,-
Восточно-Сибирский отдел Императорского Русского географического общества,2,1,1,1,ВСО РГО,7928:2387,ВСО РГО
Вострова Т.,2,0,1,0,Вострова,-,-
Вотинцева Е.С.,2,0,1,0,Вотинцева,-,-
Выхарева,0,1,0,1,-,7928:1485,Мокиевские и др
Вяткин Георгий Андреевич,1,1,1,1,Вяткин,7928:229,Вяткин и Бахарев
В… Н.,1,0,1,0,В.Н,-,-
Галобалев А.П.,1,0,1,0,Галобалев,-,-
Ганейзер Евгений Адольфович,5,0,1,0,Ганейзер,-,-
Ганзен Петр Готфридович,7,0,1,0,Ганзен,-,-
Гарбер И.В.,1,0,1,0,Гарбер,-,-
Гарильцев И.,1,0,1,0,Гарильцев,-,-
Гарин И.,0,1,0,1,-,7928:113,Базанова Гарин
Гаршниева М. / Баршниева М.,1,0,1,0,Гаршниева,-,-
Гацисский Александр Серафимович,1,0,1,0,Гацисский,-,-
Гейер Генри,1,0,1,0,Гейер,-,-
Герасимов Борис Георгиевич,0,1,0,1,-,7928:2389,СП РГО
Герценштейн Соломон Маркович,2,0,1,0,Герценштейн,-,-
Гилькова Е.,1,0,1,0,Гилькова,-,-
Главное управление казачьих войск,1,0,1,0,Главное управление казачьих войск,-,-
Глей А.,1,0,1,0,Глей,-,-
Головачев Алексей Адрианович,1,0,1,0,Головачев А,-,-
Головачев Дмитрий Михайлович,4,2,1,2,Головачев Д,7928:1480,Ульрих и Головачев Д
-,-,-,-,-,-,7928:1505,"Солдатов, Головачев и др"
Головачев Петр Михайлович,9,0,2,0,Головачев,-,-
-,-,-,-,-,Головачев П,-,-
Головачева Констанция Эдуардовна,4,0,1,0,Головачева,-,-
Головин Дмитрий,0,1,0,1,-,7928:2396,Макеров
Гомбоев Николай (Найдан) Иванович,3,0,1,0,Гомбоев Н,-,-
Гомбоева Наталья Николаевна,6,0,1,0,Гомбоева,-,-
Горбулева А.,1,0,1,0,Горбулева,-,-
Горбунов-Посадов Иван Иванович,1,0,1,0,Горбунов,-,-
Горохов Владимир Александрович,1,0,1,0,Горохов В,-,-
Горохов Сергей Владимирович,1,0,1,0,Горохов С,-,-
Горяев Владимир Петрович,1,0,1,0,Горяев,-,-
Горячкина А.,2,0,2,0,Горячкина,-,-
-,-,-,-,-,Грячкина,-,-
Градецкий Михаил Демьянович,1,0,1,0,Градецкий,-,-
Грамматчикова Людмила Федоровна,1,0,1,0,Грамматчикова,-,-
Гребенщиков Георгий Дмитриевич,4,1,1,1,Гребенщиков,7928:2375,Гребенщиков и Ильинский
Григоровский Николай Иванович,4,0,1,0,Григоровский Н,-,-
Григорьев Александр Васильевич,10,0,1,0,Григорьев А,-,-
Григорьев В,1,0,1,0,Григорьев В,-,-
Григорьев Виктор Ювентинович,11,1,2,1,Григорьев В,7928:2380,Григорьев и Тугаринов
-,-,-,-,-,Григорьев,-,-
Григорьев Михаил,1,0,1,0,Григорьев М,-,-
Григорьев С.,1,0,1,0,Григорьев С,-,-
Григорьева А.,4,0,1,0,Григорьева А,-,-
Григорьевская гимназия (Иркутск),1,0,1,0,Григорьевская гимназия,-,-
Грудинин Дмитрий Афанасьевич,3,0,1,0,Грудинин,-,-
Грудинина А.,1,0,1,0,Грудинина,-,-
Груздева О.,2,0,1,0,Груздева,-,-
Гукчин Н.,1,0,1,0,Гукчин,-,-
Гуляев Николай Степанович,1,0,1,0,Гуляев,-,-
