Имя,Число изображений,Количество вариантов имён,Варианты имён
Войкова Е.,1,1,Войкова
Войкова Е. ? Екатерина Владимировна?,1,1,Войкова
Вологодский Петр Васильевич,3,1,Вологодский
Воложанина В.,3,1,Воложанина
Вольфсон Дмитрий Дмитриевич,5,1,Вольфсон
Воробьев Андрей Иванович,1,1,Воробьев
Воронов Павел Трофимович,1,1,Воронов
Восточно-Сибирский отдел Императорского Русского географического общества,2,1,ВСО РГО
Восточно-Сибирский отдел Императорского Русского географического общества & Ширяев Федор Геннадьевич,1,1,ВСО РГО
Вострова Т.,2,1,Вострова
Вотинцева Е.С.,2,1,Вотинцева
Вяткин Георгий Андреевич,1,1,Вяткин
Вяткин Георгий Андреевич & Бахарев Ефим Афанасьевич,1,1,Вяткин и Бахарев
В… Н.,1,1,В.Н
Галобалев А.П.,1,1,Галобалев
Ганейзер Евгений Адольфович,5,1,Ганейзер
Ганзен Петр Готфридович,7,1,Ганзен
Гарбер И.В.,1,1,Гарбер
Гарильцев И.,1,1,Гарильцев
Гаршниева М. / Баршниева М.,1,1,Гаршниева
Гацисский Александр Серафимович,1,1,Гацисский
Гейер Генри,1,1,Гейер
Герценштейн Соломон Маркович,2,1,Герценштейн
Гилькова Е.,1,1,Гилькова
Главное управление казачьих войск,1,1,Главное управление казачьих войск
Глей А.,1,1,Глей
Головачев Алексей Адрианович,1,1,Головачев А
Головачев Дмитрий Михайлович,4,1,Головачев Д
Головачев Дмитрий Михайлович & Ульрих,1,1,Ульрих и Головачев Д
Головачев Петр Михайлович,9,2,"Головачев, Головачев П"
Головачева Констанция Эдуардовна,4,1,Головачева
Гомбоев Николай (Найдан) Иванович,3,1,Гомбоев Н
Гомбоева Наталья Николаевна,6,1,Гомбоева
Горбулева А.,1,1,Горбулева
Горбунов-Посадов Иван Иванович,1,1,Горбунов
Горохов Владимир Александрович,1,1,Горохов В
Горохов Сергей Владимирович,1,1,Горохов С
Горяев Владимир Петрович,1,1,Горяев
Горячкина А.,2,2,"Горячкина, Грячкина"
Градецкий Михаил Демьянович,1,1,Градецкий
Грамматчикова Людмила Федоровна,1,1,Грамматчикова
Гребенщиков Георгий Дмитриевич,4,1,Гребенщиков
Григоровский Николай Иванович,4,1,Григоровский Н
Григорьев Александр Васильевич,10,1,Григорьев А
Григорьев Виктор Ювентинович,12,2,"Григорьев В, Григорьев"
Григорьев Виктор Ювентинович & Тугаринов А.,1,1,Григорьев и Тугаринов
Григорьев Михаил,1,1,Григорьев М
Григорьев С.,1,1,Григорьев С
Григорьева А.,4,1,Григорьева А
Григорьевская гимназия (Иркутск),1,1,Григорьевская гимназия
Грудинин Дмитрий Афанасьевич,3,1,Грудинин
Грудинина А.,1,1,Грудинина
Груздева О.,2,1,Груздева
Гукчин Н.,1,1,Гукчин
Гуляев Николай Степанович,1,1,Гуляев
Гурари Вера Давыдовна,2,1,Гурари
Гуркин Григорий Иванович,18,1,Гуркин Г
Д.Т. ?Тринин,1,1,Д.Т
Давигдов,3,1,Давигдов
Давид,1,1,Давид
Давыдов Дмитрий Никанорович,1,1,Давыдов
Девриен Альфред Федорович,3,1,Девриен
Демин П.,1,1,Демин
Денисов П.И.,1,1,Денисов
Деспот-Зенович Александр Иванович,2,1,Деспот-Зенович
Дзюбинский Владимир Иванович,1,1,Дзюбинский
Дикгоф В.,1,1,Дикгоф
Директор Иркутского промышленного училища,1,1,Директор Иркутского училища
Дмитриев Петр,3,1,Дмитриев
Долина (Горленко) Мария Ивановна,3,1,Долина
Досекин В.,2,1,Досекин
Досекина Зинаида,6,1,Досекина
Достоевский Андрей Андреевич  & Семенов Тян-Шанский Петр Петрович & Сапожников Василий Васильевич & Козлов Иван Савельевич,1,1,Достоевский и другие
Достоевский Андрей Андреевич & Козлов Иван Савельевич & Анда О. & Семенов-Тян-Шанский Петр Петрович,1,1,"Достоевский, Козлов и др"
Дэнаяк Хамба-лама,1,1,Хамба-лама
Еленев Алексей Сергеевич,1,1,Еленев
Емельянов Алексей Алексеевич,2,1,Емельянов
Ефимов А.И.,4,1,Ефимов А
Ефимов Ростислав Иванович,1,1,Ефимов Р
Жане В.Н.,5,1,Жане
Жанэ-Раппопорт В.,1,1,Жанэ-Раппопорт
Железнов Владимир Яковлевич,1,1,Железнов
Жемчужников Андрей Аполлонович,1,1,Жемчужников
Жерновков Григорий Иванович,1,1,Жерновков
Жуков Иннокентий Николаевич,3,1,Жуков
Жукова Ал.,1,1,Жукова
Жуковский Н. & Кожевников Г.,1,1,Жуковский и Кожевников
Завитков А.,1,1,Завитков
Заостровская Н.,2,1,Заостровская
Западно-Сибирский отдел Императорского Русского географического общества,2,1,ЗСО РГО
Западно-Сибирский отдел Императорского Русского географического общества & Ширяев Федор Геннадьевич & Седельников Александр Никитич,1,1,Ширяев
Засс Фердинанд Егорович,1,1,Засс
Захариков Ф.,4,1,Захариков
Зверев Дмитрий Иванович,4,1,Зверев
Зензинов Михаил Михайлович,3,1,Зензинов
Зимин В.,1,1,Зимин
Златковский В.К.,4,1,Златковский
Златковский В.К. & Златковская Ю.И.,1,1,Златковские
Знакомые и друзья,1,1,Знакомые
Зобнин Филипп Козмич,10,1,Зобнин
Зубашев Ефим Лукьянович,1,1,Зубашев
Зубашев Лев,1,1,Зубашев
Зубашева Ольга Александровна,7,1,Зубашева
Зуев А.,1,1,Зуев
Зуева А.,4,1,Зуева
Зунделевич С.,1,1,Зунделевич
Ибрагимов Абдурашид Гумерович,3,2,"Ибрагимов, Ибрагимов А"
Иваницкий Николай Александрович,2,1,Иваницкий
Иванов Н.,1,1,Иванов Н
Ивановский Алексей Осипович,48,2,"Ивановский, Ивановский Алексей"
Ивановский Арсений,1,1,Ивановский Арсений
Иванчин-Писарев Александр Иванович,3,1,Иванчин-Писарев
Игнатов Павел Григорьевич,1,1,Игнатов
